time,u,v,r,x,y,Ψ,x1,y1,x2,y2,δ,n_p,X_wind,Y_wind,N_wind
31.75,0.7711556897264742,-0.1597275445133612,0.12195136390929086,1.1196916414775913,13.199501431674227,3.8783350988703047,0.37903047505017207,12.527622695184988,1.8603528079050105,13.871380168163464,0.3490658503988658,14.99999999999999,0.000524351248834327,-0.1438480047317759,3.5485405330163486e-5
32.0,0.7707640849564285,-0.1597557337334608,0.12191327508152232,0.9516541168322019,13.097013164792079,3.908818193804094,0.2318148135766842,12.40287241718493,1.6714934200877196,13.791153912399228,0.34906585039886584,14.99999999999999,0.0017908918191377695,-0.15701686432158724,-0.002636703644979158
32.25,0.7703816540598003,-0.1597905630853576,0.12187451019822483,0.7868808004159792,12.989525499016251,3.9392916844797816,0.08852532266097923,12.273774406324396,1.485236278170979,13.705276591708108,0.34906585039886584,14.999999999999991,0.0010214448034497545,-0.17103580677291885,-0.00564494535262947
32.5,0.7700044282668609,-0.1598323357085473,0.12183482534127069,0.6255167317925466,12.877143573630455,3.9697553699764985,-0.05071367767310275,12.140453385482195,1.301747141258196,13.613833761778716,0.3490658503988658,14.99999999999999,-0.0011889349376679775,-0.18590572599348704,-0.00901429666243886
32.75,0.7696297821217875,-0.15988128449906425,0.1217939387774968,0.46770397574946176,12.75997729671642,4.000208995929453,-0.1857814621990348,12.003038209081714,1.1211894136979583,13.516916384351125,0.3490658503988658,14.99999999999999,-0.004211989102997621,-0.20162704101139367,-0.012769580192054179
33.0,0.7692563989262557,-0.15993759714735745,0.12175159544835847,0.31358125381664914,12.638141024842925,4.030652221401256,-0.3165612776035308,11.86166154018453,0.9437237852368292,13.41462050950132,0.3490658503988658,14.99999999999999,-0.007380457917780676,-0.2181996711632576,-0.016935516860502528
33.25,0.7688842101407373,-0.1600014305855402,0.12170755227306977,0.16328360626010124,12.511753279615457,4.061084648890007,-0.4429406415564828,11.716459521712618,0.7695078540766853,13.307047037518295,0.34906585039886584,14.999999999999991,-0.010193284193591104,-0.23561124372877126,-0.021533421185591622
33.5,0.7685135794502582,-0.16007290111694278,0.12166159737400929,0.01694206313711378,12.380936391632444,4.091505836917974,-0.5648116421615014,11.5675713896983,0.598695768435729,13.194301393566588,0.34906585039886584,14.999999999999991,-0.012677536100824019,-0.2538163563437779,-0.026575200479118707
33.75,0.7681446834383475,-0.1601520638749304,0.12161358682998906,-0.12531642550043534,12.245816364313983,4.121915279521909,-0.6820710032934862,11.415139327128964,0.43143815229261573,13.076493401499002,0.34906585039886584,14.999999999999991,-0.014956978315341722,-0.27276051972289933,-0.03207028607570345
34.0,0.767777456230592,-0.16023891182209785,0.12156339575375812,-0.26336905675698224,12.106522795260403,4.152312444139548,-0.7946200988468866,11.259308341725532,0.2678819853329221,12.953737248795274,0.3490658503988658,14.99999999999999,-0.01716690949356187,-0.2923847221877971,-0.03802699865448054
34.25,0.7674115656162481,-0.16033337370684156,0.12151089877810067,-0.39709724916512723,11.963188762167846,4.182696784070293,-0.9023649912299988,11.100226127502436,0.10817049289974445,12.826151396833255,0.3490658503988658,14.99999999999999,-0.019455073711702475,-0.31262518560099556,-0.04445250696670673
34.5,0.7670464121575933,-0.1604353113493533,0.12145601551900936,-0.5263866801401973,11.815950733288954,4.213067699843733,-1.005216476002354,10.93804297811498,-0.047556884278040334,12.693858488462928,0.3490658503988658,14.99999999999999,-0.021982348176097156,-0.33341315132948246,-0.0513527804002268
34.75,0.7666811073693348,-0.16054451843634784,0.12139865348272288,-0.6511273518477677,11.664948511343844,4.243424582326496,-1.1030900846875964,10.772911691406486,-0.1991646190079388,12.556985331281203,0.34906585039886584,14.999999999999991,-0.024895974723239664,-0.3546750671731915,-0.05873053072689127
35.0,0.7663146326657753,-0.16066072013644836,0.1213387191189907,-0.7712136754223664,11.510325116826515,4.273766812264456,-1.195906140891855,10.604987439617924,-0.3465212099528777,12.415662794035105,0.3490658503988658,14.99999999999999,-0.028217720592305193,-0.37633380611561107,-0.06657688980335923
35.25,0.7659460398797557,-0.16078357496381362,0.12127617594820926,-0.8865445367753408,11.35222665733118,4.304093727476511,-1.2835898272498665,10.434427639401873,-0.48949924630081504,12.270025675260486,0.3490658503988658,14.99999999999999,-0.03192608715616491,-0.3983077855222673,-0.07487751565522655
35.5,0.7655744629587931,-0.16091267783699903,0.12121098547893501,-0.9970234102396364,11.190802187789124,4.334404675235205,-1.3660712228669807,10.261391776832278,-0.6279755976122918,12.12021259874597,0.3490658503988658,14.999999999999988,-0.0359954661374688,-0.42051060073211605,-0.08361549821032259
35.75,0.7651991361775842,-0.16104756320404792,0.12114313007271944,-1.102558457967751,11.026203501932116,4.364699000003821,-1.4432853830731145,10.08604119546145,-0.7618315328623873,11.966365808402783,0.3490658503988658,14.999999999999991,-0.0403960365278048,-0.44285108089128516,-0.09277134873515144
36.0,0.7648194079251154,-0.16118770658536802,0.12107264277412727,-1.2030625837489264,10.858584989674341,4.3949760236305355,-1.5151723813634268,9.908538951719844,-0.890952786134426,11.808631027628838,0.3490658503988658,14.999999999999991,-0.04509367776224517,-0.46523336475485977,-0.10232299667232411
36.25,0.76443473294308,-0.1613325279925439,0.12099954563902884,-1.2984535362337994,10.68810345949129,4.425235099980909,-1.5816773301861273,9.729049611921067,-1.0152297422814713,11.647157307061512,0.3490658503988658,14.999999999999991,-0.05004991794027203,-0.4875570444609329,-0.1122458152393194
36.5,0.7640446905969834,-0.1614813948335353,0.12092389351825424,-1.3886539649142644,10.514917921982558,4.455475586359014,-1.6427504318429662,9.547739042201599,-1.1345574979855624,11.482096801763518,0.3490658503988658,14.99999999999999,-0.0552237703873191,-0.5097180666241511,-0.12251239469690924
36.75,0.7636489738393925,-0.16163362756625704,0.12084578254758271,-1.473591460536358,10.339189448207687,4.485696842644631,-1.6983469883647828,9.364774263232327,-1.2488359327079332,11.313604633183047,0.3490658503988658,14.99999999999999,-0.06059609121184522,-0.5316191039174901,-0.1330893714866518
37.0,0.7632473213916673,-0.1617885161148133,0.120765307232049,-1.5531986277092926,10.161080976263417,4.515898277218418,-1.748427397703771,9.180323245033913,-1.357969857714814,11.141838707492921,0.3490658503988658,14.999999999999991,-0.06616508672123624,-0.5531678161553497,-0.14393805173516974
37.25,0.7628395203217395,-0.16194532226611125,0.12068260965128333,-1.6274131037705801,9.980757124067074,4.546079314291263,-1.7929571722008268,8.994554730332622,-1.4618690353403332,10.966959517801525,0.34906585039886584,14.999999999999991,-0.07192919005926385,-0.5742698041084889,-0.15501669892669234
37.5,0.7624254004156943,-0.16210328071346206,0.12059786295334082,-1.6961775880627392,9.798384062716194,4.576239411111405,-1.8319069196112285,8.80763810710628,-1.56044825651425,10.789130018326107,0.34906585039886584,14.99999999999999,-0.07788667957337303,-0.5948286317354076,-0.16628065152100716
37.75,0.7620048258703235,-0.1622616005498326,0.12051124158478377,-1.7594398802533588,9.614129325241468,4.606378087534501,-1.865252320780819,8.61974321943064,-1.6536274397258985,10.608515431052295,0.3490658503988658,14.99999999999999,-0.08403569785091074,-0.6147460277179855,-0.17768240353719705
38.0,0.7615777056875935,-0.1624194661978154,0.12042296422879716,-1.8171528766180294,9.428161633350882,4.636494896839424,-1.8929741239369298,8.43104020721713,-1.7413316292991288,10.425283059484634,0.3490658503988658,14.999999999999988,-0.09037426170149819,-0.6339220620323013,-0.18917167994926298
38.25,0.7611439858909428,-0.16257603803171836,0.12033326760726913,-1.8692745872584524,9.240650769380858,4.666589450566881,-1.9150581072632586,8.241699384529738,-1.8234910672536462,10.239602154231978,0.3490658503988658,14.99999999999999,-0.09690027861885214,-0.6522553556603281,-0.2006955359516025
38.5,0.7607036466868243,-0.1627304547140555,0.12024239646905496,-1.9157681412513372,9.051767382932717,4.69666143182897,-1.931495041431727,8.051891058275153,-1.9000412410709473,10.05164370759028,0.34906585039886584,14.99999999999999,-0.10361140737850491,-0.6696436102759615,-0.21219853827166882
38.75,0.7602567142000852,-0.1628818404374048,0.12015062944269016,-1.9566017704623964,8.861682835373346,4.726710576740078,-1.9422806636812768,7.861785387681552,-1.9709228772435157,9.86158028306514,0.34906585039886584,14.99999999999999,-0.11049889995019868,-0.6859968337395005,-0.22362590785943412
39.0,0.7598032684312186,-0.16302932346245091,0.1200582491329776,-1.9917488122726086,8.670569069591679,4.7567366954888115,-1.9474156323275724,7.671552268353601,-2.0360819922176447,9.669585870829756,0.34906585039886584,14.999999999999988,-0.11754493527322557,-0.7012432111355839,-0.23492496578801433
39.25,0.7593434533349879,-0.16317204977084787,0.11996554099983836,-2.021187696869695,8.478598415184278,4.786739673583097,-1.9469054868286857,7.481361154913973,-2.0954699069107043,9.475835675454583,0.3490658503988658,14.999999999999988,-0.12472986596559989,-0.7153140083979056,-0.24604169557449201
39.5,0.758877477721561,-0.1633091824927769,0.11987280623380465,-2.0449019279031124,8.285943434236428,4.816719465668533,-1.9407606099202592,7.2913809244418974,-2.1490432458859656,9.280505944030958,0.3490658503988658,14.999999999999986,-0.13203279823094152,-0.7281425650524261,-0.25692058787649336
39.75,0.7584056121300164,-0.16343990295684618,0.11978035295631882,-2.0628800699745344,8.092776796833363,4.8466761053166,-1.9289961819600903,7.101779771343308,-2.1967639579889786,9.083773822323417,0.3490658503988658,14.999999999999984,-0.13943163358302665,-0.7396644321182175,-0.2675047602882875
40.0,0.7579281910690426,-0.1635634116362337,0.11968851145964604,-2.0751157137347387,7.899271107718492,4.8766096967865415,-1.911632132185504,6.912725052755098,-2.238599295283973,8.885817162681885,0.34906585039886584,14.999999999999988,-0.1469031106955503,-0.7498174950270841,-0.27773607470043327
40.25,0.7574456064140196,-0.1636789296885243,0.11959761369612687,-2.08160743898304,7.705598711738486,4.906520435286083,-1.8886930611442567,6.724383117272583,-2.2745218168218235,8.68681430620439,0.3490658503988659,14.999999999999991,-0.15442285509369152,-0.7585420920615672,-0.2875552629392974
40.5,0.7569583061171749,-0.16378570006337959,0.11950799126428409,-2.082358798486594,7.511931630790804,4.936408609105254,-1.8602082035645566,6.536919265138048,-2.3045093934086305,8.48694399644356,0.3490658503988659,14.999999999999991,-0.16196542825200283,-0.7657811166552383,-0.29690204838131096
40.75,0.7564668028708553,-0.16388298510961066,0.11942001518471043,-2.0773782480039196,7.318441378996937,4.9662745752352135,-1.8262113647376355,6.35049758065413,-2.3285451312702046,8.286385177339744,0.34906585039886595,14.999999999999993,-0.169504478088788,-0.7714805025457263,-0.30571552780360556
41.0,0.7559716600516707,-0.1639700790628244,0.11933405534655878,-2.0666791015181176,7.125298803167218,4.996118782903521,-1.7867408365189412,6.16528079927914,-2.346617366517294,8.085316807055296,0.3490658503988659,14.999999999999991,-0.1770159099595078,-0.7756010454424099,-0.3139422501142898
41.25,0.7554734778182143,-0.16404632140749614,0.11925044057269459,-2.0502795045429347,6.9326739754957005,5.025941793997135,-1.7418393368437008,5.981430230207634,-2.3587196722421675,7.883917720783767,0.3490658503988659,14.999999999999991,-0.1844787427189893,-0.7781214768076187,-0.32153837954567477
41.5,0.7549729025011024,-0.16411110413333788,0.11916951170874651,-2.028202364079093,6.740736077285133,5.055744234080628,-1.6915539739490573,5.799105650088318,-2.364850754209128,7.682366504481948,0.34906585039886584,14.99999999999999,-0.191871817955847,-0.7790259402969448,-0.32846128653451717
41.75,0.7544706187675194,-0.16416387267831367,0.11909160838281373,-2.000475293356408,6.549653241019242,5.085526801646739,-1.6359361698411374,5.618465167949833,-2.365014416871679,7.48084131408865,0.3490658503988659,14.99999999999999,-0.19917363863913515,-0.7783032275405278,-0.33466911087337325
42.0,0.7539673344171569,-0.1642041252114423,0.11901701927199694,-1.9671305848489384,6.359592434354133,5.1152903084807,-1.5750415851525115,5.439665145750814,-2.3592195845453654,7.279519722957453,0.3490658503988659,14.99999999999999,-0.2063624154283507,-0.7759467580846027,-0.34012084036148266
42.25,0.7534637966570099,-0.16423141203987035,0.11894605720042581,-1.9282051337868487,6.170719368993087,5.145035619336449,-1.5089300900334028,5.262860108047016,-2.3474801775402945,7.078578629939158,0.34906585039886595,14.999999999999991,-0.21341609669417994,-0.7719545645605946,-0.34477637521425925
42.5,0.752960783817962,-0.16424533487605159,0.11887904237683511,-1.8837403736683542,5.983198354260883,5.174763664864355,-1.4376656784830084,5.088202618899366,-2.329815068853699,6.878194089622399,0.3490658503988659,14.99999999999999,-0.22031241003500115,-0.7663292606253662,-0.34859659871866566
42.75,0.7524590881210527,-0.16424554700271052,0.11881624422341595,-1.833782243955394,5.797192187780365,5.204475487363694,-1.3613163878899455,4.915843213280285,-2.306248100020843,6.678541162280445,0.3490658503988659,14.99999999999999,-0.22702890779760432,-0.7590779813869535,-0.35154344244547686
43.0,0.7519595356689038,-0.16423175177009783,0.11875797046987926,-1.778381102113296,5.6128620752209795,5.234172170086374,-1.2799542688464947,4.745930306348925,-2.276807935380097,6.479793844093034,0.3490658503988659,14.999999999999988,-0.2335429960013328,-0.7502123550859997,-0.3535799457067926
43.25,0.7514629703432931,-0.16420370375778226,0.1187045184983594,-1.717591661384663,5.430367492514873,5.263854870906183,-1.1936552868695562,4.578610088402666,-2.2415280358997696,6.28212489662708,0.3490658503988659,14.999999999999991,-0.23983274586548292,-0.7397501389392723,-0.3546731184958937
43.5,0.7509702395032836,-0.16416121292801422,0.11865612843937795,-1.6514729504504386,5.2498660951053076,5.293524849030072,-1.102499255695339,4.414026467863972,-2.2004466452055373,6.085705722346644,0.3490658503988659,14.999999999999991,-0.2458798300834971,-0.7277215626002558,-0.3548045545791522
